id,name,age,height,weight
64,name_64,62,198.0,79.0
65,name_65,75,205.0,120.0
66,name_66,52,208.0,120.0
67,name_67,40,169.0,146.0
68,name_68,99,159.0,176.0
69,name_69,42,181.0,125.0
70,name_70,85,196.0,89.0
71,name_71,18,186.0,173.0
72,name_72,92,169.0,187.0
73,name_73,24,170.0,66.0
74,name_74,77,167.0,69.0
75,name_75,97,172.0,198.0
76,name_76,40,210.0,213.0
77,name_77,85,166.0,182.0
78,name_78,27,184.0,80.0
79,name_79,50,181.0,87.0
80,name_80,78,209.0,155.0
81,name_81,33,171.0,219.0
82,name_82,91,182.0,211.0
83,name_83,23,203.0,209.0
84,name_84,16,182.0,111.0
85,name_85,48,204.0,85.0
86,name_86,59,208.0,78.0
87,name_87,22,153.0,190.0
88,name_88,12,185.0,197.0
89,name_89,65,175.0,79.0
90,name_90,87,186.0,114.0
91,name_91,36,161.0,51.0
92,name_92,78,186.0,164.0
93,name_93,69,164.0,64.0
94,name_94,100,184.0,193.0
95,name_95,60,162.0,94.0
96,name_96,93,193.0,188.0
97,name_97,95,165.0,113.0
98,name_98,36,163.0,71.0
99,name_99,31,190.0,143.0
100,name_100,90,192.0,190.0
101,name_101,18,205.0,93.0
102,name_102,77,199.0,189.0
103,name_103,73,152.0,42.0
104,name_104,99,204.0,131.0
105,name_105,87,194.0,59.0
106,name_106,39,169.0,140.0
107,name_107,88,188.0,144.0
108,name_108,100,164.0,68.0
109,name_109,19,151.0,180.0
110,name_110,85,201.0,169.0
111,name_111,13,152.0,50.0
112,name_112,27,195.0,68.0
113,name_113,60,168.0,181.0
114,name_114,14,202.0,69.0
115,name_115,32,192.0,175.0
116,name_116,70,155.0,106.0
117,name_117,65,206.0,184.0
118,name_118,30,193.0,199.0
119,name_119,37,198.0,62.0
120,name_120,29,192.0,184.0
121,name_121,95,169.0,174.0
122,name_122,80,187.0,176.0
123,name_123,94,174.0,75.0
124,name_124,79,165.0,207.0
125,name_125,92,195.0,219.0
126,name_126,77,192.0,90.0
127,name_127,36,187.0,72.0
128,name_128,16,196.0,153.0
129,name_129,87,172.0,88.0
130,name_130,31,172.0,61.0
131,name_131,54,155.0,212.0
132,name_132,57,194.0,49.0
133,name_133,18,166.0,49.0
134,name_134,52,161.0,134.0
135,name_135,15,191.0,78.0
136,name_136,13,182.0,143.0
137,name_137,33,182.0,200.0
138,name_138,87,186.0,119.0
139,name_139,46,191.0,67.0
140,name_140,77,166.0,50.0
141,name_141,55,170.0,65.0
142,name_142,74,158.0,135.0
143,name_143,32,188.0,109.0
144,name_144,14,153.0,59.0
145,name_145,45,187.0,202.0
146,name_146,71,189.0,80.0
147,name_147,26,161.0,107.0
148,name_148,39,180.0,129.0
149,name_149,99,176.0,80.0
150,name_150,82,171.0,94.0
151,name_151,52,175.0,164.0
152,name_152,28,206.0,51.0
153,name_153,56,172.0,91.0
154,name_154,40,199.0,43.0
155,name_155,69,165.0,85.0
156,name_156,56,196.0,100.0
157,name_157,41,194.0,155.0
158,name_158,98,208.0,201.0
159,name_159,62,162.0,79.0
160,name_160,56,205.0,42.0
161,name_161,40,186.0,213.0
162,name_162,13,166.0,85.0
163,name_163,49,175.0,183.0
164,name_164,74,161.0,174.0
165,name_165,27,192.0,206.0
166,name_166,58,202.0,164.0
167,name_167,90,173.0,78.0
168,name_168,94,210.0,74.0
169,name_169,95,161.0,44.0
170,name_170,64,205.0,173.0
171,name_171,99,191.0,126.0
172,name_172,41,165.0,81.0
173,name_173,46,168.0,89.0
174,name_174,53,185.0,122.0
175,name_175,58,167.0,181.0
176,name_176,18,155.0,65.0
177,name_177,51,201.0,194.0
178,name_178,78,163.0,178.0
179,name_179,29,193.0,215.0
180,name_180,73,186.0,190.0
181,name_181,47,182.0,116.0
182,name_182,56,168.0,207.0
183,name_183,79,153.0,205.0
184,name_184,51,181.0,80.0
185,name_185,60,155.0,172.0
186,name_186,50,210.0,151.0
187,name_187,21,196.0,119.0
188,name_188,91,160.0,66.0
189,name_189,30,189.0,144.0
190,name_190,95,208.0,216.0
191,name_191,100,155.0,106.0
192,name_192,65,206.0,187.0
193,name_193,37,153.0,98.0
194,name_194,54,176.0,169.0
195,name_195,35,163.0,85.0
196,name_196,64,165.0,110.0
197,name_197,32,153.0,123.0
198,name_198,27,182.0,51.0
199,name_199,78,184.0,136.0
200,name_200,99,170.0,162.0
201,name_201,46,208.0,144.0
202,name_202,13,176.0,41.0
203,name_203,79,197.0,153.0
204,name_204,81,154.0,210.0
205,name_205,59,202.0,156.0
206,name_206,70,173.0,200.0
207,name_207,39,207.0,172.0
208,name_208,86,152.0,145.0
209,name_209,85,176.0,152.0
210,name_210,86,169.0,47.0
211,name_211,34,161.0,62.0
212,name_212,15,206.0,120.0
213,name_213,50,202.0,219.0
214,name_214,44,203.0,85.0
215,name_215,67,173.0,43.0
216,name_216,95,190.0,119.0
217,name_217,32,204.0,172.0
218,name_218,98,191.0,128.0
219,name_219,45,179.0,76.0
220,name_220,62,167.0,161.0
221,name_221,56,182.0,65.0
222,name_222,19,154.0,218.0
223,name_223,80,204.0,73.0
224,name_224,28,178.0,166.0
225,name_225,21,179.0,44.0
226,name_226,71,169.0,131.0
227,name_227,64,179.0,146.0
228,name_228,56,197.0,107.0
229,name_229,57,179.0,190.0
230,name_230,75,155.0,89.0
231,name_231,21,195.0,113.0
232,name_232,79,187.0,171.0
233,name_233,84,204.0,46.0
234,name_234,53,168.0,44.0
235,name_235,31,156.0,174.0
236,name_236,52,154.0,211.0
237,name_237,60,205.0,203.0
238,name_238,80,160.0,132.0
239,name_239,14,190.0,78.0
240,name_240,16,190.0,62.0
241,name_241,66,194.0,183.0
242,name_242,79,178.0,218.0
243,name_243,60,199.0,104.0
244,name_244,42,193.0,133.0
245,name_245,48,184.0,136.0
246,name_246,98,168.0,138.0
247,name_247,86,183.0,73.0
248,name_248,37,207.0,182.0
249,name_249,23,169.0,70.0
250,name_250,90,206.0,212.0
251,name_251,11,161.0,196.0
252,name_252,82,173.0,134.0
253,name_253,50,190.0,219.0
254,name_254,98,203.0,129.0
255,name_255,83,184.0,105.0
256,name_256,22,184.0,117.0
257,name_257,51,209.0,132.0
258,name_258,66,185.0,218.0
259,name_259,31,162.0,95.0
260,name_260,93,190.0,140.0
261,name_261,81,166.0,217.0
262,name_262,19,182.0,107.0
263,name_263,35,164.0,94.0
264,name_264,85,166.0,183.0
265,name_265,28,187.0,116.0
266,name_266,38,165.0,98.0
267,name_267,89,174.0,108.0
268,name_268,72,167.0,103.0
269,name_269,92,180.0,172.0
270,name_270,27,194.0,56.0
271,name_271,34,151.0,96.0
272,name_272,55,185.0,101.0
273,name_273,99,206.0,162.0
274,name_274,64,208.0,218.0
275,name_275,16,173.0,156.0
276,name_276,20,188.0,182.0
277,name_277,16,209.0,155.0
278,name_278,36,181.0,163.0
279,name_279,91,176.0,116.0
280,name_280,85,203.0,204.0
281,name_281,94,203.0,154.0
282,name_282,57,193.0,210.0
283,name_283,66,166.0,117.0
284,name_284,43,181.0,125.0
285,name_285,85,195.0,82.0
286,name_286,92,202.0,142.0
287,name_287,32,182.0,199.0
288,name_288,87,185.0,108.0
289,name_289,21,179.0,45.0
290,name_290,73,174.0,196.0
291,name_291,25,162.0,132.0
292,name_292,96,163.0,75.0
293,name_293,40,156.0,124.0
294,name_294,14,199.0,208.0
295,name_295,30,167.0,172.0
296,name_296,85,207.0,79.0
297,name_297,34,189.0,124.0
298,name_298,44,179.0,92.0
299,name_299,99,154.0,99.0
300,name_300,52,172.0,104.0
301,name_301,76,184.0,156.0
302,name_302,57,189.0,164.0
303,name_303,56,177.0,174.0
304,name_304,42,183.0,160.0
305,name_305,73,179.0,99.0
306,name_306,26,204.0,207.0
307,name_307,97,153.0,94.0
308,name_308,45,151.0,204.0
309,name_309,55,197.0,111.0
310,name_310,66,206.0,180.0
311,name_311,18,158.0,101.0
312,name_312,40,188.0,70.0
313,name_313,94,158.0,196.0
314,name_314,94,155.0,145.0
315,name_315,71,189.0,68.0
316,name_316,88,200.0,137.0
317,name_317,31,181.0,200.0
318,name_318,91,198.0,92.0
319,name_319,16,178.0,63.0
320,name_320,30,195.0,46.0
321,name_321,95,187.0,86.0
322,name_322,47,168.0,77.0
323,name_323,25,161.0,115.0
324,name_324,59,178.0,162.0
325,name_325,11,210.0,210.0
326,name_326,77,203.0,67.0
327,name_327,20,156.0,70.0
328,name_328,58,159.0,69.0
329,name_329,43,169.0,121.0
330,name_330,40,169.0,137.0
331,name_331,80,166.0,215.0
332,name_332,18,180.0,83.0
333,name_333,72,194.0,143.0
334,name_334,71,190.0,94.0
335,name_335,54,183.0,86.0
336,name_336,68,177.0,94.0
337,name_337,23,200.0,171.0
338,name_338,23,182.0,80.0
339,name_339,57,205.0,43.0
340,name_340,40,187.0,56.0
341,name_341,63,191.0,146.0
342,name_342,94,204.0,161.0
343,name_343,71,171.0,167.0
344,name_344,54,168.0,46.0
345,name_345,34,164.0,105.0
346,name_346,19,176.0,183.0
347,name_347,75,161.0,179.0
348,name_348,37,161.0,44.0
349,name_349,60,193.0,200.0
350,name_350,37,199.0,73.0
351,name_351,53,199.0,154.0
352,name_352,77,198.0,179.0
353,name_353,52,210.0,147.0
354,name_354,98,155.0,119.0
355,name_355,97,182.0,173.0
356,name_356,19,165.0,214.0
357,name_357,18,181.0,98.0
358,name_358,15,170.0,120.0
359,name_359,32,204.0,167.0
360,name_360,87,158.0,60.0
361,name_361,24,176.0,167.0
362,name_362,31,153.0,127.0
363,name_363,37,153.0,102.0
364,name_364,62,200.0,117.0
365,name_365,68,207.0,176.0
366,name_366,97,184.0,197.0
367,name_367,72,200.0,50.0
368,name_368,83,201.0,190.0
369,name_369,66,187.0,69.0
370,name_370,99,178.0,95.0
371,name_371,25,205.0,52.0
372,name_372,63,194.0,202.0
373,name_373,37,198.0,57.0
374,name_374,17,155.0,65.0
375,name_375,54,151.0,150.0
376,name_376,100,161.0,195.0
377,name_377,80,169.0,79.0
378,name_378,23,155.0,206.0
379,name_379,46,164.0,214.0
380,name_380,22,195.0,96.0
381,name_381,41,197.0,189.0
382,name_382,84,187.0,142.0
383,name_383,13,175.0,42.0
384,name_384,82,207.0,99.0
385,name_385,83,154.0,197.0
386,name_386,26,166.0,180.0
387,name_387,20,163.0,169.0
388,name_388,96,186.0,57.0
389,name_389,74,166.0,71.0
390,name_390,16,200.0,202.0
391,name_391,14,180.0,107.0
392,name_392,43,193.0,122.0
393,name_393,24,173.0,112.0
394,name_394,91,167.0,161.0
395,name_395,60,194.0,218.0
396,name_396,79,200.0,199.0
397,name_397,92,202.0,154.0
398,name_398,60,202.0,160.0
399,name_399,76,189.0,51.0
400,name_400,41,181.0,142.0
401,name_401,35,191.0,140.0
402,name_402,76,151.0,189.0
403,name_403,20,153.0,209.0
404,name_404,59,203.0,174.0
405,name_405,19,166.0,46.0
406,name_406,42,190.0,82.0
407,name_407,28,168.0,193.0
408,name_408,45,173.0,168.0
409,name_409,49,152.0,188.0
410,name_410,14,194.0,130.0
411,name_411,39,157.0,144.0
412,name_412,61,156.0,182.0
413,name_413,68,201.0,96.0
414,name_414,100,153.0,87.0
415,name_415,25,151.0,148.0
416,name_416,94,203.0,143.0
417,name_417,30,174.0,96.0
418,name_418,44,205.0,125.0
419,name_419,64,185.0,58.0
420,name_420,79,182.0,97.0
421,name_421,11,157.0,129.0
422,name_422,23,163.0,160.0
423,name_423,71,172.0,186.0
424,name_424,95,167.0,147.0
425,name_425,21,200.0,175.0
426,name_426,35,159.0,192.0
427,name_427,84,184.0,102.0
428,name_428,14,160.0,164.0
429,name_429,96,191.0,140.0
430,name_430,75,206.0,132.0
431,name_431,77,161.0,153.0
432,name_432,67,165.0,106.0
433,name_433,18,170.0,104.0
434,name_434,82,207.0,90.0
435,name_435,62,154.0,143.0
436,name_436,71,190.0,94.0
437,name_437,54,181.0,64.0
438,name_438,20,159.0,115.0
439,name_439,68,207.0,181.0
440,name_440,18,154.0,51.0
441,name_441,21,176.0,175.0
442,name_442,52,156.0,46.0
443,name_443,92,178.0,136.0
444,name_444,38,206.0,164.0
445,name_445,71,170.0,141.0
446,name_446,86,183.0,70.0
447,name_447,30,184.0,74.0
448,name_448,32,189.0,130.0
449,name_449,61,169.0,201.0
450,name_450,56,201.0,165.0
451,name_451,94,185.0,63.0
452,name_452,88,208.0,80.0
453,name_453,29,171.0,65.0
454,name_454,67,195.0,194.0
455,name_455,12,181.0,131.0
456,name_456,99,176.0,71.0
457,name_457,61,168.0,186.0
458,name_458,24,170.0,66.0
459,name_459,79,172.0,131.0
460,name_460,51,196.0,114.0
461,name_461,81,191.0,46.0
462,name_462,23,186.0,133.0
463,name_463,85,186.0,120.0
464,name_464,52,208.0,113.0
465,name_465,24,182.0,71.0
466,name_466,36,206.0,174.0
467,name_467,96,182.0,181.0
468,name_468,39,164.0,79.0
469,name_469,45,166.0,62.0
470,name_470,86,201.0,162.0
471,name_471,89,170.0,45.0
472,name_472,23,186.0,147.0
473,name_473,25,153.0,166.0
474,name_474,45,199.0,197.0
475,name_475,95,156.0,155.0
476,name_476,92,188.0,119.0
477,name_477,37,159.0,191.0
478,name_478,78,165.0,214.0
479,name_479,19,185.0,142.0
480,name_480,21,204.0,59.0
481,name_481,86,203.0,203.0
482,name_482,88,186.0,108.0
483,name_483,20,175.0,164.0
484,name_484,32,158.0,208.0
485,name_485,34,181.0,183.0
486,name_486,47,191.0,64.0
487,name_487,67,196.0,205.0
488,name_488,36,190.0,127.0
489,name_489,47,187.0,182.0
490,name_490,21,165.0,188.0
491,name_491,47,183.0,138.0
492,name_492,15,189.0,49.0
493,name_493,39,178.0,102.0
494,name_494,39,186.0,214.0
495,name_495,17,178.0,48.0
496,name_496,89,163.0,122.0
497,name_497,67,197.0,216.0
498,name_498,61,203.0,169.0
499,name_499,94,179.0,156.0
500,name_500,79,202.0,44.0
501,name_501,57,182.0,49.0
502,name_502,73,169.0,126.0
503,name_503,51,200.0,178.0
504,name_504,41,176.0,57.0
505,name_505,26,187.0,140.0
506,name_506,93,206.0,192.0
507,name_507,51,195.0,102.0
508,name_508,54,173.0,117.0
509,name_509,12,200.0,49.0
510,name_510,81,195.0,114.0
511,name_511,82,196.0,108.0
512,name_512,65,206.0,190.0
513,name_513,43,169.0,129.0
514,name_514,56,154.0,181.0
515,name_515,75,165.0,50.0
516,name_516,59,182.0,46.0
517,name_517,62,196.0,58.0
518,name_518,29,195.0,61.0
519,name_519,41,170.0,151.0
520,name_520,19,189.0,201.0
521,name_521,60,156.0,186.0
522,name_522,79,174.0,154.0
523,name_523,11,160.0,172.0
524,name_524,28,199.0,117.0
525,name_525,74,166.0,70.0
526,name_526,16,198.0,183.0
527,name_527,64,185.0,56.0
528,name_528,75,171.0,141.0
529,name_529,80,160.0,134.0
530,name_530,19,206.0,96.0
531,name_531,81,209.0,138.0
532,name_532,80,165.0,198.0
533,name_533,69,189.0,91.0
534,name_534,53,180.0,51.0
535,name_535,83,202.0,197.0
536,name_536,81,168.0,56.0
537,name_537,63,191.0,145.0
538,name_538,92,198.0,82.0
539,name_539,81,163.0,163.0
540,name_540,82,206.0,80.0
541,name_541,41,154.0,89.0
542,name_542,25,152.0,147.0
543,name_543,92,195.0,215.0
544,name_544,68,167.0,127.0
545,name_545,62,175.0,96.0
546,name_546,40,194.0,152.0
547,name_547,94,197.0,54.0
548,name_548,17,158.0,115.0
549,name_549,73,163.0,41.0
550,name_550,45,204.0,92.0
551,name_551,80,210.0,162.0
552,name_552,45,203.0,85.0
553,name_553,64,164.0,109.0
554,name_554,29,204.0,196.0
555,name_555,68,185.0,218.0
556,name_556,27,210.0,107.0
557,name_557,91,171.0,52.0
558,name_558,36,164.0,92.0
559,name_559,77,201.0,220.0
560,name_560,52,170.0,85.0
561,name_561,32,180.0,164.0
562,name_562,98,199.0,66.0
563,name_563,34,204.0,156.0
564,name_564,60,200.0,130.0
565,name_565,11,182.0,149.0
566,name_566,52,178.0,212.0
567,name_567,44,151.0,205.0
568,name_568,61,154.0,148.0
569,name_569,83,166.0,202.0
570,name_570,73,198.0,196.0
571,name_571,96,161.0,41.0
572,name_572,54,176.0,160.0
573,name_573,14,163.0,210.0
574,name_574,16,181.0,102.0
575,name_575,26,202.0,183.0
576,name_576,43,176.0,44.0
577,name_577,86,160.0,87.0
578,name_578,85,171.0,88.0
579,name_579,34,183.0,203.0
580,name_580,91,196.0,62.0
581,name_581,40,166.0,101.0
582,name_582,91,177.0,140.0
583,name_583,50,181.0,83.0
584,name_584,71,189.0,69.0
585,name_585,91,210.0,93.0
586,name_586,54,183.0,83.0
587,name_587,61,156.0,181.0
588,name_588,67,198.0,61.0
589,name_589,26,181.0,51.0
590,name_590,78,184.0,142.0
591,name_591,23,210.0,142.0
592,name_592,85,178.0,188.0
593,name_593,75,159.0,132.0
594,name_594,24,163.0,142.0
595,name_595,31,177.0,136.0
596,name_596,39,151.0,54.0
597,name_597,41,181.0,128.0
598,name_598,94,161.0,57.0
599,name_599,96,177.0,107.0
600,name_600,59,184.0,80.0
601,name_601,47,171.0,133.0
602,name_602,58,157.0,218.0
603,name_603,64,151.0,91.0
604,name_604,43,208.0,165.0
605,name_605,65,208.0,220.0
606,name_606,18,177.0,206.0
607,name_607,38,195.0,190.0
608,name_608,93,156.0,166.0
609,name_609,30,210.0,100.0
610,name_610,70,170.0,161.0
611,name_611,41,192.0,114.0
612,name_612,11,197.0,192.0
613,name_613,93,153.0,120.0
614,name_614,19,158.0,108.0
615,name_615,55,172.0,92.0
616,name_616,42,206.0,137.0
617,name_617,93,208.0,48.0
618,name_618,41,185.0,199.0
619,name_619,70,190.0,94.0
620,name_620,58,195.0,69.0
621,name_621,58,162.0,110.0
622,name_622,41,182.0,155.0
623,name_623,65,156.0,154.0
624,name_624,92,187.0,103.0
625,name_625,91,178.0,143.0
626,name_626,55,195.0,84.0
627,name_627,99,162.0,220.0
628,name_628,49,159.0,123.0
629,name_629,86,200.0,144.0
630,name_630,49,174.0,163.0
631,name_631,32,158.0,209.0
632,name_632,37,191.0,134.0
633,name_633,59,159.0,61.0
634,name_634,23,171.0,87.0
635,name_635,38,194.0,175.0
636,name_636,59,178.0,155.0
637,name_637,86,168.0,212.0
638,name_638,90,183.0,56.0
639,name_639,82,194.0,77.0
640,name_640,89,195.0,52.0
641,name_641,21,174.0,152.0
642,name_642,92,191.0,160.0
643,name_643,36,177.0,100.0
644,name_644,42,196.0,179.0
645,name_645,59,175.0,109.0
646,name_646,75,175.0,205.0
647,name_647,41,206.0,160.0
648,name_648,57,186.0,118.0
649,name_649,44,185.0,171.0
650,name_650,94,177.0,120.0
651,name_651,91,158.0,209.0
652,name_652,38,194.0,163.0
653,name_653,33,164.0,102.0
654,name_654,16,165.0,54.0
655,name_655,68,208.0,196.0
656,name_656,52,193.0,72.0
657,name_657,77,161.0,163.0
658,name_658,88,167.0,178.0
659,name_659,11,196.0,179.0
660,name_660,62,184.0,57.0
661,name_661,80,186.0,158.0
662,name_662,54,177.0,178.0
663,name_663,56,164.0,151.0
664,name_664,45,157.0,103.0
665,name_665,49,157.0,88.0
666,name_666,99,158.0,163.0
667,name_667,13,156.0,104.0
668,name_668,55,176.0,154.0
669,name_669,91,184.0,68.0
670,name_670,16,200.0,216.0
671,name_671,45,210.0,182.0
672,name_672,99,183.0,174.0
673,name_673,19,165.0,210.0
674,name_674,98,152.0,78.0
675,name_675,99,167.0,116.0
676,name_676,37,162.0,58.0
677,name_677,92,163.0,105.0
678,name_678,23,190.0,192.0
679,name_679,32,191.0,161.0
680,name_680,40,187.0,48.0
681,name_681,47,203.0,73.0
682,name_682,34,198.0,72.0
683,name_683,55,208.0,94.0
684,name_684,65,160.0,214.0
685,name_685,41,200.0,52.0
686,name_686,88,157.0,211.0
687,name_687,50,170.0,95.0
688,name_688,61,203.0,173.0
689,name_689,13,206.0,138.0
690,name_690,95,154.0,134.0
691,name_691,45,173.0,170.0
692,name_692,53,163.0,150.0
693,name_693,48,167.0,64.0
694,name_694,84,192.0,219.0
695,name_695,91,179.0,168.0
696,name_696,21,179.0,219.0
697,name_697,60,197.0,84.0
698,name_698,90,191.0,172.0
699,name_699,67,207.0,189.0
700,name_700,37,152.0,75.0
701,name_701,92,208.0,49.0
702,name_702,44,193.0,125.0
703,name_703,28,184.0,82.0
704,name_704,51,186.0,148.0
705,name_705,28,163.0,120.0
706,name_706,64,190.0,127.0
707,name_707,51,198.0,145.0
708,name_708,61,153.0,136.0
709,name_709,58,154.0,165.0
710,name_710,37,174.0,60.0
711,name_711,42,177.0,67.0
712,name_712,48,188.0,201.0
713,name_713,63,164.0,105.0
714,name_714,22,183.0,106.0
715,name_715,26,197.0,104.0
716,name_716,51,162.0,155.0
717,name_717,64,153.0,123.0
718,name_718,25,175.0,138.0
719,name_719,55,202.0,186.0
720,name_720,53,205.0,69.0
721,name_721,15,198.0,183.0
722,name_722,63,182.0,204.0
723,name_723,96,153.0,107.0
724,name_724,75,178.0,65.0
725,name_725,39,161.0,201.0
726,name_726,97,158.0,173.0
727,name_727,38,171.0,174.0
728,name_728,75,172.0,155.0
729,name_729,20,187.0,177.0
730,name_730,96,179.0,140.0
731,name_731,40,209.0,203.0
732,name_732,64,165.0,115.0
733,name_733,43,185.0,187.0
734,name_734,41,164.0,58.0
735,name_735,85,200.0,160.0
736,name_736,86,162.0,117.0
737,name_737,61,181.0,204.0
738,name_738,100,165.0,78.0
739,name_739,41,155.0,97.0
740,name_740,44,206.0,135.0
741,name_741,86,189.0,161.0
742,name_742,49,157.0,90.0
743,name_743,14,173.0,183.0
744,name_744,83,190.0,193.0
745,name_745,36,202.0,121.0
746,name_746,69,207.0,169.0
747,name_747,78,188.0,202.0
748,name_748,64,168.0,157.0
749,name_749,45,209.0,172.0
750,name_750,75,173.0,176.0
751,name_751,66,201.0,103.0
752,name_752,31,155.0,168.0
753,name_753,38,176.0,74.0
754,name_754,70,197.0,194.0
755,name_755,96,163.0,67.0
756,name_756,23,165.0,185.0
757,name_757,37,154.0,111.0
758,name_758,81,195.0,110.0
759,name_759,72,166.0,89.0
760,name_760,61,151.0,102.0
761,name_761,72,173.0,193.0
762,name_762,20,151.0,164.0
763,name_763,47,151.0,183.0
764,name_764,94,168.0,165.0
765,name_765,60,193.0,197.0
766,name_766,30,179.0,172.0
767,name_767,30,205.0,196.0
768,name_768,65,178.0,120.0
769,name_769,87,207.0,61.0
770,name_770,79,180.0,64.0
771,name_771,29,188.0,136.0
772,name_772,80,167.0,44.0
773,name_773,37,174.0,61.0
774,name_774,45,183.0,150.0
775,name_775,47,162.0,181.0
776,name_776,38,160.0,205.0
777,name_777,19,193.0,85.0
778,name_778,21,202.0,214.0
779,name_779,32,167.0,158.0
780,name_780,51,167.0,47.0
781,name_781,42,190.0,78.0
782,name_782,18,197.0,151.0
783,name_783,79,209.0,140.0
784,name_784,88,190.0,166.0
785,name_785,56,176.0,153.0
786,name_786,87,173.0,100.0
787,name_787,58,188.0,142.0
788,name_788,94,208.0,217.0
789,name_789,14,165.0,56.0
790,name_790,76,171.0,145.0
791,name_791,87,183.0,59.0
792,name_792,92,165.0,130.0
793,name_793,77,165.0,209.0
794,name_794,98,154.0,111.0
795,name_795,79,189.0,200.0
796,name_796,58,210.0,113.0
797,name_797,12,202.0,80.0
798,name_798,60,157.0,194.0
799,name_799,97,165.0,94.0
800,name_800,80,210.0,158.0
801,name_801,35,175.0,84.0
802,name_802,98,160.0,191.0
803,name_803,75,155.0,79.0
804,name_804,87,186.0,117.0
805,name_805,42,180.0,107.0
806,name_806,46,203.0,74.0
807,name_807,38,208.0,194.0
808,name_808,47,180.0,76.0
809,name_809,58,152.0,143.0
810,name_810,80,159.0,113.0
811,name_811,62,191.0,161.0
812,name_812,39,185.0,201.0
813,name_813,79,158.0,105.0
814,name_814,46,205.0,111.0
815,name_815,29,201.0,148.0
816,name_816,52,180.0,62.0
817,name_817,20,161.0,146.0
818,name_818,44,158.0,131.0
819,name_819,22,159.0,95.0
820,name_820,20,189.0,195.0
821,name_821,44,167.0,93.0
822,name_822,65,160.0,41.0
823,name_823,57,186.0,111.0
824,name_824,27,194.0,54.0
825,name_825,29,198.0,99.0
826,name_826,34,171.0,208.0
827,name_827,66,168.0,153.0
828,name_828,33,172.0,44.0
829,name_829,14,159.0,152.0
830,name_830,69,175.0,54.0
831,name_831,24,183.0,91.0
832,name_832,79,209.0,150.0
833,name_833,20,193.0,78.0
834,name_834,94,152.0,94.0
835,name_835,50,168.0,72.0
836,name_836,98,172.0,192.0
837,name_837,24,163.0,152.0
838,name_838,51,175.0,160.0
839,name_839,21,186.0,149.0
840,name_840,32,173.0,67.0
841,name_841,67,191.0,135.0
842,name_842,63,172.0,47.0
843,name_843,20,176.0,185.0
844,name_844,76,165.0,46.0
845,name_845,48,209.0,156.0
846,name_846,35,178.0,121.0
847,name_847,88,209.0,91.0
848,name_848,54,184.0,103.0
849,name_849,15,165.0,46.0
850,name_850,50,157.0,85.0
851,name_851,90,192.0,190.0
852,name_852,16,200.0,206.0
853,name_853,22,202.0,211.0
854,name_854,24,206.0,67.0
855,name_855,97,174.0,52.0
856,name_856,23,180.0,46.0
857,name_857,73,172.0,168.0
858,name_858,54,169.0,50.0
859,name_859,42,186.0,201.0
860,name_860,72,197.0,184.0
861,name_861,72,210.0,207.0
862,name_862,70,181.0,137.0
863,name_863,27,168.0,210.0
864,name_864,85,168.0,219.0
865,name_865,18,177.0,214.0
866,name_866,55,185.0,116.0
867,name_867,42,180.0,115.0
868,name_868,63,192.0,166.0
869,name_869,48,209.0,161.0
870,name_870,46,208.0,152.0
871,name_871,31,167.0,165.0
872,name_872,67,154.0,116.0
873,name_873,93,169.0,191.0
